basis,case,gap_pct,n,obj,r,reduction_pct,reps,speedup,svd_s,t_comp_s,t_full_s,tau
weighted,sioux,3.0642,6464,4363091.787399822,10,91.6,3,4.51,0.01,0.19,0.84,600.0
unweighted,sioux,3.4425,6464,4379107.105920599,10,91.6,3,7.23,0.01,0.12,0.84,600.0
weighted,sioux,2.9905,6464,4359971.69026299,20,91.4,3,3.34,0.01,0.25,0.84,600.0
unweighted,sioux,3.4389,6464,4378954.221784723,20,91.4,3,11.83,0.01,0.07,0.84,600.0
weighted,sioux,2.7525,6464,4349898.585118717,50,91.0,3,1.47,0.03,0.57,0.84,600.0
unweighted,sioux,3.4402,6464,4379010.199038599,50,91.0,3,4.76,0.02,0.18,0.84,600.0
weighted,sketch-V2,0.031,42774,16766572.854526524,10,53.2,3,2.17,0.06,5.38,11.65,4.54
unweighted,sketch-V2,0.0309,42774,16766554.221894726,10,53.2,3,2.18,0.05,5.34,11.65,4.54
weighted,sketch-V2,0.0311,42774,16766576.937005952,20,53.2,3,1.84,0.08,6.34,11.65,4.54
unweighted,sketch-V2,0.0291,42774,16766242.125125216,20,53.2,3,1.47,0.07,7.95,11.65,4.54
weighted,sketch-V2,0.0271,42774,16765911.316060316,50,53.1,3,0.8,0.2,14.63,11.65,4.54
unweighted,sketch-V2,0.0292,42774,16766262.234829579,50,53.1,3,0.88,0.18,13.3,11.65,4.54
weighted,sketch-E0,0.0201,229175,16774775.262050673,10,70.3,1,4.3,0.66,29.5,126.74,4.54
unweighted,sketch-E0,0.0228,229175,16775231.625934802,10,70.3,1,3.95,0.81,32.08,126.74,4.54
weighted,sketch-E0,0.02,229175,16774759.641015258,20,70.3,1,5.42,0.94,23.38,126.74,4.54
unweighted,sketch-E0,0.0233,229175,16775307.66859002,20,70.3,1,5.53,0.97,22.93,126.74,4.54
weighted,sketch-E0,0.02,229175,16774757.132219493,50,70.3,1,2.84,2.1,44.66,126.74,4.54
unweighted,sketch-E0,0.023,229175,16775261.226257993,50,70.3,1,2.02,1.99,62.67,126.74,4.54
