gap_pct,inner,instance,n,nnz_per_path,note,obj,r,reduction_pct,speedup,svd_s,t_s
0.2751,,sketch-K10,903516,17.0,,16972896.7103,,,,,301.2
0.0035,861,sketch-K10,903516,17.0,,16926923.2653,6,89.8,3.06,5.28,98.5
0.0434,869,sketch-K10,903516,17.0,,16933679.6483,10,89.8,2.46,2.51,122.6
0.0,1059,sketch-K10,903516,17.0,,16926325.8878,20,89.8,1.64,6.31,183.4
0.6119,,sketch-K15,1323999,17.1,,17062700.7728,,,,,583.5
0.0464,1172,sketch-K15,1323999,17.1,,16966809.388,6,92.4,3.26,6.12,178.9
0.0837,1423,sketch-K15,1323999,17.1,,16973129.6251,10,92.4,2.89,6.97,201.7
0.0,1466,sketch-K15,1323999,17.1,,16958934.0303,20,92.4,1.98,10.93,294.4
,,regional-E0,2024525,30.0,,18854545.3159,,,,,1085.3
,,regional-E0,2024525,30.0,STOPPED: exceeded 1860s against an 1085.3s baseline; bound only,,8,84.0,<0.58,,>1860
