N,K,n,ell,reduction_pct,op,space,t_s,speedup,obj,gap_vs_best_pct,cert,note
16,16,4224,256,72.9,ALM,full,2.14,,244850.71723528655,0.0217,1.39e-03,
16,16,4224,256,72.9,GP,full,0.62,,244797.5684495785,0.0,9.91e-05,it=415
16,16,4224,256,72.9,FW,full,5.02,,244803.95173395288,0.0026,9.81e-05,it=2521
16,16,4224,256,72.9,ALM,comp,1.92,1.11,254151.54352439285,3.8211,5.05e-02,
16,16,4224,256,72.9,GP-signed,comp,300.1,0.0,253015.26436875036,3.3569,4.33e-02,
16,16,4224,256,72.9,RG-anchor,comp,8.57,0.07,254149.65357035826,3.8203,4.91e-02,anchors=38
16,32,8175,256,74.1,ALM,full,5.55,,244814.93857187915,0.0196,8.27e-04,
16,32,8175,256,74.1,GP,full,1.86,,244766.88830836388,0.0,8.81e-05,it=365
16,32,8175,256,74.1,FW,full,11.1,,244776.40524991645,0.0039,9.85e-05,it=2959
16,32,8175,256,74.1,ALM,comp,4.55,1.22,255845.44453624406,4.5262,4.58e-02,
16,32,8175,256,74.1,GP-signed,comp,300.08,0.01,254183.18385749363,3.847,3.89e-02,
16,32,8175,256,74.1,RG-anchor,comp,7.14,0.26,255988.613899649,4.5847,4.63e-02,anchors=2
16,64,16202,256,74.6,ALM,full,8.66,,244793.59039512032,0.0129,8.45e-04,
16,64,16202,256,74.6,GP,full,2.33,,244762.10258549376,0.0,9.68e-05,it=291
16,64,16202,256,74.6,FW,full,17.39,,244774.1093973112,0.0049,9.74e-05,it=3629
16,64,16202,256,74.6,ALM,comp,4.41,1.96,257190.66286732064,5.0778,4.30e-02,
16,64,16202,256,74.6,GP-signed,comp,300.12,0.01,254562.1746539157,4.0039,3.44e-02,
16,64,16202,256,74.6,RG-anchor,comp,17.56,0.13,257134.42061083153,5.0548,4.29e-02,anchors=21
32,16,17233,1024,72.5,ALM,full,15.21,,1007542.1750564603,0.0112,6.86e-04,
32,16,17233,1024,72.5,GP,full,5.41,,1007429.6640405993,0.0,9.92e-05,it=539
32,16,17233,1024,72.5,FW,full,31.56,,1007442.3707284138,0.0013,9.97e-05,it=3496
32,16,17233,1024,72.5,ALM,comp,3.95,3.85,1043957.4527509154,3.6258,4.99e-02,
32,16,17233,1024,72.5,GP-signed,comp,309.54,0.02,1053957.5271932054,4.6185,9.39e-02,
32,16,17233,1024,72.5,RG-anchor,comp,15.72,0.34,1044024.0901493375,3.6325,4.97e-02,anchors=157
32,32,33551,1024,74.1,ALM,full,34.06,,1004706.1409915991,0.0202,9.18e-04,
32,32,33551,1024,74.1,GP,full,12.23,,1004503.5424408128,0.0,9.72e-05,it=633
32,32,33551,1024,74.1,FW,full,28.03,,1004518.1485782452,0.0015,9.85e-05,it=2418
32,32,33551,1024,74.1,ALM,comp,19.6,1.74,1048711.6320993323,4.401,5.07e-02,
32,32,33551,1024,74.1,GP-signed,comp,308.7,0.04,1045767.4903595177,4.1079,5.64e-02,
32,32,33551,1024,74.1,RG-anchor,comp,55.29,0.22,1048365.6757615418,4.3665,4.87e-02,anchors=241
32,64,66161,1024,74.7,ALM,full,76.95,,1004470.3487752841,0.019,7.28e-04,
32,64,66161,1024,74.7,GP,full,29.86,,1004279.5173803427,0.0,9.56e-05,it=705
32,64,66161,1024,74.7,FW,full,61.14,,1004309.9750803807,0.003,9.91e-05,it=2958
32,64,66161,1024,74.7,ALM,comp,30.25,2.54,1052469.2590211066,4.7984,4.38e-02,
32,64,66161,1024,74.7,GP-signed,comp,311.47,0.1,1044580.3683639788,4.0129,5.06e-02,
32,64,66161,1024,74.7,RG-anchor,comp,116.87,0.26,1054099.1539798686,4.9607,4.51e-02,anchors=198
